Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj	theme	curated_theme
M8Y62_21340	M8Y62_21340	YacC family pilotin-like protein	1.64995151445396	4.9428369806972e-15	-0.896571185002488	7.54845326446128e-06	0.751981848764822	9.24246438301038e-10	Envelope/cell surface	Envelope/LPS/cell wall
M8Y62_07820	nuoC	NADH-quinone oxidoreductase subunit C/D	-1.21330589633278	7.109545848594711e-15	0.895806240927224	6.36211921894932e-10	-0.320670824844011	0.0093622357933915	Metabolism	Metabolism
M8Y62_04655	M8Y62_04655	cobalt-precorrin-6A reductase	1.63545450357068	1.02914882476173e-14	-0.507689170837193	0.0042826507934365	1.12312247703253	9.24851067599265e-17	Other/unclear	Cobalamin/cofactor metabolism
M8Y62_04640	M8Y62_04640	cobalt-precorrin-4 methyltransferase	1.38673962690923	2.02724129045065e-14	-0.654474521617057	1.1193665650328e-07	0.72835212303765	1.68054084235363e-07	Metabolism	Metabolism
M8Y62_04685	M8Y62_04685	energy-coupling factor ABC transporter ATP-binding protein	2.35330934478557	3.1310229878244504e-14	-1.20606455900049	1.46898359350982e-07	1.14105817194429	1.06328448605682e-10	Transport	Transport/secretion
M8Y62_14115	dmsB	dimethylsulfoxide reductase subunit B	1.74375599778777	3.22646528090978e-14	-0.418867177622796	0.0171885486458128	1.32164951253793	3.0327214603844e-17	Other/unclear	Respiration/electron transport
M8Y62_12255	M8Y62_12255	YncJ family protein	-2.69989102907871	3.7164483960000104e-14	1.64604211992946	8.948701792543111e-09	-1.05645680883129	7.39102659678108e-07	Other/unclear	Uncharacterized
M8Y62_03400	zupT	zinc transporter ZupT	-1.39833223013509	5.1941782361542405e-14	0.741080379527451	2.46797410649402e-06	-0.660876830885239	1.60393027988417e-06	Transport	Transport/secretion
M8Y62_04670	cbiM	cobalt ECF transporter S component CbiM	2.45597775489107	1.02683695960403e-13	-1.80452307050699	7.93999024049785e-15	0.645001021960942	0.0008163195901446	Transport	Transport/secretion
M8Y62_13745	M8Y62_13745	GNAT family N-acetyltransferase	1.43165602362908	1.36961128062876e-13	-1.08191444474642	2.01195257630096e-12	0.347290288812354	0.049493322374834	Metabolism	Metabolism
M8Y62_07920	M8Y62_07920	Rpn family recombination-promoting nuclease/putative transposase	1.45122685518265	3.77863993602933e-13	-0.966116299132859	1.04410012660734e-07	0.482405741232042	0.0007087014189162	Other/unclear	Mobile genetic elements/genome plasticity
M8Y62_23065	M8Y62_23065	carbonic anhydrase	-2.89145851263104	4.75516270229629e-13	0.699499617195425	0.0170715726832305	-2.19703072183161	2.61202578948457e-12	Other/unclear	Metabolism
M8Y62_15970	phoQ	two-component system sensor histidine kinase PhoQ	-1.75445212945547	6.993240509658959e-13	0.940235076599059	1.01892220422931e-05	-0.817578861173261	5.73560228399308e-08	Metabolism	Metabolism
M8Y62_04675	M8Y62_04675	energy-coupling factor ABC transporter substrate-binding protein	2.39879716368407	1.30506962510648e-12	-0.720442406788149	0.005305100002222	1.67215510340299	1.5050448950238599e-18	Transport	Transport/secretion
M8Y62_06975	cysM	cysteine synthase CysM	-1.22790069713049	1.30506962510648e-12	0.485169916630031	0.0003287261291045	-0.745411372607624	7.3466663366352e-07	Metabolism	Metabolism
M8Y62_04690	M8Y62_04690	cobyric acid synthase	2.69472461956931	1.90012741572035e-12	-1.8159571973438	8.70168145958644e-11	0.871782824415371	1.22374530280324e-05	Metabolism	Metabolism
M8Y62_18405	ybeD	DUF493 family protein YbeD	1.82487239682587	2.59916870814312e-12	-1.19860104579939	5.71115843774146e-07	0.623390929071135	3.42589708228594e-07	Other/unclear	Uncharacterized
M8Y62_00160	tisB	type I toxin-antitoxin system toxin TisB	1.64989062801346	2.8105305692764397e-12	-0.924125655383982	2.89150275990954e-10	0.722139135910857	4.84988848097597e-05	Toxin-antitoxin/persistence	Toxin-antitoxin/persistence
M8Y62_11835	M8Y62_11835	helix-turn-helix domain-containing protein	-1.63033081882567	3.73469526983503e-12	1.00233960232217	6.38363601885886e-06	-0.6317421428569	2.51721894363713e-06	Other/unclear	Transcriptional regulation
M8Y62_25580	glnG	nitrogen regulation protein NR(I)	-1.42170568178782	1.3980515982222598e-11	0.535418309504388	0.0004393426294655	-0.889332952369367	1.53087482642903e-07	Other/unclear	Nitrogen/nutrient response
M8Y62_09045	clbG	colibactin biosynthesis acyltransferase ClbG	2.30676154534718	1.7695349218854898e-11	-1.81488432483772	1.78736259862115e-17	0.486522221893315	0.0244616218498482	Metabolism	Metabolism
M8Y62_22965	M8Y62_22965	tyrosine-type DNA invertase	2.12546496015322	1.830392787061789e-11	-1.01797423290189	8.65790177972208e-05	1.10631195485929	3.56340180967753e-06	Other/unclear	Mobile genetic elements/genome plasticity
M8Y62_14120	M8Y62_14120	dimethyl sulfoxide reductase anchor subunit	1.45073390838199	2.08927472308366e-11	-0.710778477398163	8.39178909281884e-06	0.736004268624538	2.20956498820307e-06	Other/unclear	Respiration/electron transport
M8Y62_05565	lpxO	lipid A hydroxylase LpxO	-1.6712952911304	2.91099760696239e-11	0.634619986837526	0.0034888759166934	-1.04081774531385	1.5942955211071e-11	Other/unclear	Envelope/LPS/cell wall
M8Y62_10980	rplT	50S ribosomal protein L20	2.11817182916816	3.7984469331016894e-11	-1.40687689483569	3.4129961825171e-08	0.705719164990602	1.09033031639324e-05	Translation/ribosome	Translation/ribosome
M8Y62_18955	M8Y62_18955	cation-transporting P-type ATPase	-2.84716186584365	5.9651762874988e-11	1.83204384390806	1.0721717413532e-06	-1.01983876593961	1.3439198605413e-10	Transport	Transport/secretion
M8Y62_26665	M8Y62_26665	HAD-IB family hydrolase	1.24910750993591	6.097310768282609e-11	-0.852370983881363	2.31394671010727e-07	0.393623128199624	0.00800174410494	Other/unclear	Metabolism
M8Y62_22845	M8Y62_22845	AAA domain-containing protein	1.5170084101202	7.591253251038689e-11	-0.537707727206211	0.0071093180644203	0.976571457810913	2.9443548192857e-13	Other/unclear	Protein folding/quality stress
M8Y62_18820	betA	choline dehydrogenase	-1.89503501280922	1.59940638183813e-10	0.940709473880282	1.72196788712677e-05	-0.958007839036615	5.30899928220043e-07	Metabolism	Metabolism
M8Y62_03775	metK	methionine adenosyltransferase	-1.59253563644195	4.895392709172301e-10	1.1973050615754	1.84673346549502e-12	-0.396908515111296	0.0337106330498056	Metabolism	Metabolism
M8Y62_19440	purK	5-(carboxyamino)imidazole ribonucleotide synthase	-1.96637793887136	8.6280202802082e-10	1.11845011884291	2.48433689314901e-05	-0.853570963991558	2.07260326995913e-05	Metabolism	Metabolism
M8Y62_16240	rpmF	50S ribosomal protein L32	1.45322077301014	8.70988185321116e-10	-0.776681085814482	4.62955736814712e-06	0.671692989575373	2.37500879762856e-05	Translation/ribosome	Translation/ribosome
M8Y62_04695	cobU	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	2.77825540653362	1.16361459833901e-09	-1.49890406611851	6.7507679986439e-06	1.27130097092096	1.78439038564559e-08	Metabolism	Metabolism
M8Y62_25680	rbsB	ribose ABC transporter substrate-binding protein RbsB	1.24927867000021	2.19745105518612e-09	-0.593953931944179	9.90832127504131e-05	0.652738198915349	6.31078814490512e-06	Transport	Transport/secretion
M8Y62_20285	M8Y62_20285	DUF2076 domain-containing protein	-2.09099535638155	2.45680951305146e-09	1.5394625409608	7.40771795440066e-08	-0.556142826077027	0.0009208206344721	Other/unclear	Uncharacterized
M8Y62_18475	ahpC	alkyl hydroperoxide reductase subunit C	1.06421964618395	5.113049183832971e-09	-0.473320904537024	0.0039065217701776	0.588017941002062	4.23851436317414e-07	Oxidative/nitrosative stress	Oxidative/redox stress
M8Y62_12155	M8Y62_12155	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	-1.5505639727424	6.2848970169040115e-09	0.576284346297099	0.0007103329216003	-0.97704459953838	4.09963785124196e-07	Metabolism	Metabolism
M8Y62_10975	rpmI	50S ribosomal protein L35	2.1320083496733	1.00826116494081e-08	-1.29437142437919	1.12422671330693e-05	0.831457509816195	1.19729513962973e-06	Translation/ribosome	Translation/ribosome
M8Y62_04420	ptsP	phosphoenolpyruvate--protein phosphotransferase	-0.976553677519405	1.06687068256674e-08	0.330782119859176	0.0271091325817958	-0.64907830127741	2.68249843961782e-07	Metabolism	Metabolism
M8Y62_23505	M8Y62_23505	hypothetical protein	-1.15947718228814	1.09858218215735e-08	0.538973815333667	0.0008232510067326	-0.622945729980669	2.96808880438096e-05	Other/unclear	Uncharacterized
M8Y62_07625	mnmC	bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	-0.943377567461047	1.13837295207778e-08	0.407187385807989	0.0071345774257523	-0.53808803244114	0.00011738534866	Metabolism	Metabolism
M8Y62_17610	M8Y62_17610	ATP-binding cassette domain-containing protein	-2.14134677550721	1.77358232606453e-08	1.27994640984937	7.29883997487903e-05	-0.862275148557967	1.96723758068066e-07	Other/unclear	Transport/secretion
M8Y62_03955	ygfZ	tRNA-modifying protein YgfZ	-1.20325385860414	2.09606924282183e-08	0.38664820443628	0.0217876188862937	-0.818934792477172	9.3610133800353e-07	Translation/ribosome	Translation/ribosome
M8Y62_09775	M8Y62_09775	YecH family protein	1.81121749315615	2.12651267617393e-08	-0.999114319012398	8.0795460901914e-05	0.805031254391318	0.0014477339234294	Other/unclear	Uncharacterized
