	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_00005	1988.8663825894	-0.615582720093539	0.23903700177684	-2.57526121695684	0.0100164407973197	0.0303444210327553
M8Y62_00010	1052.15876304431	0.266477679299766	0.228828461095155	1.16453031246387	0.24420916644471	0.379223171140924
M8Y62_00015	281.422951102111	-0.308185488933397	0.228091280947295	-1.35114980131402	0.176647451132325	0.299825999178411
M8Y62_00020	4172.96725454258	-0.346292051709296	0.171017063452641	-2.02489766060796	0.0428778738840451	0.0995553080530427
M8Y62_00025	843.723331714844	0.0995975126052617	0.202318417545065	0.492280998506115	0.622520710946294	0.743306225039624
M8Y62_00030	39.5666820723904	-0.451099611859445	0.434117737242124	-1.03911813123602	0.29874979949304	0.440747137598361
M8Y62_00035	47.4525407786488	0.0419281627396792	0.397937751495041	0.10536362177792	0.916087280964094	0.945426256383169
M8Y62_00040	40.5239281533872	0.52807349315912	0.421789132038425	1.25198458909324	0.210575479525802	0.340313016607505
M8Y62_00045	34.2870836065674	0.0816452622832616	0.473859409856525	0.172298493150072	0.863202868930542	0.911549087210266
M8Y62_00050	22.9202384364427	-0.441312142525238	0.577783945710145	-0.763801323664036	0.444985647910665	0.588993948205379
M8Y62_00055	79.5863793074644	-0.109580958555071	0.311576923867212	-0.351697928058922	0.725064814589009	0.820793221996923
M8Y62_00060	43.8116403606316	0.415813444577327	0.377111785643221	1.10262649009522	0.270189401571002	0.408356181965042
M8Y62_00065	362.363474801179	-0.568437964582257	0.147205284912183	-3.86153231469485	0.000112678105292318	0.000651570073474878
M8Y62_00070	533.743096516769	0.643689675697522	0.154273633511179	4.17238941643827	3.0142190153601e-05	0.00020210091430857
M8Y62_00075	317.533980603451	-1.12661100999268	0.369366705940451	-3.05011521578317	0.00228753592683033	0.00872512806524881
M8Y62_00080	147.669703748816	-1.8680896148793	0.405125965015869	-4.61113277399075	4.00480630504589e-06	3.28097921786271e-05
M8Y62_00085	255.920834624632	0.199760469323217	0.254299755561661	0.785531503488923	0.432142006938141	0.578035893211426
M8Y62_00090	2741.5025251332	0.193967302581984	0.162425486769114	1.19419252754161	0.232402665433792	0.365803721761833
M8Y62_00095	105.862891319507	0.346809999437908	0.274072955096298	1.26539300207878	0.205730482522084	0.334618836209826
M8Y62_00100	116.315102362616	0.728539046393837	0.341607385366352	2.1326794372801	0.0329510318563564	0.0810486252612673
M8Y62_00105	191.032328425132	-0.439478786682793	0.23501089668006	-1.87003578511124	0.0614788486676443	0.131936596201183
M8Y62_00110	39.0211431370156	-1.48202820652139	0.484713809877092	-3.05753245796151	0.00223167471176152	0.0085488576674611
M8Y62_00115	78.455895001657	-1.45332018945455	0.399041828916925	-3.64202468046805	0.000270502131536226	0.00140181270309758
M8Y62_00120	301.578151942589	-0.292797629030477	0.313556830804722	-0.933794452122227	0.350409931853381	0.496437412114156
M8Y62_00125	491.958904673677	-3.45936611899926	0.423718428096709	-8.16430414541635	3.23293402220502e-16	1.40897624557902e-14
M8Y62_00130	250.717472411413	-3.20432850961678	0.502691558633187	-6.37434318238667	1.83748720489528e-10	3.35736064207156e-09
M8Y62_00135	2.18555594796375	-1.09761965355387	1.52370636060176	-0.720361666745542	0.471302345426698	0.612842888391722
M8Y62_00140	105.671229237075	-1.12146615979263	0.319961714012854	-3.50500110068661	0.000456605395508016	0.00219906783325736
M8Y62_00145	373.301584767111	-0.870697768997934	0.351343639874591	-2.47819419559928	0.0132049252396085	0.0384084176690365
M8Y62_00150	78.6967119317532	0.219988172500687	0.281031822907086	0.7827874090025	0.433751962606151	0.578880317564484
M8Y62_00155	105.816705481846	0.0632956833131101	0.293050605367923	0.21598891847926	0.828996385475852	0.89099934941886
M8Y62_00160	384.28939439591	1.64989062801346	0.221515179510075	7.4482057241518	9.46182004702806e-14	2.81053056927644e-12
M8Y62_00165	28.3109358651218	1.43893011071939	0.487348003749905	2.95257208329065	0.00315138483286765	0.0114845189556938
M8Y62_00170	232.75613404522	-0.0256403242159276	0.198438170968154	-0.129210645768563	0.897190972721364	0.934632523894885
M8Y62_00175	683.806018355041	-0.148732025423326	0.272016536262027	-0.546775675726038	0.584532856226769	0.712699036193533
M8Y62_00180	225.95793329089	1.34676966110942	0.383950136687132	3.5076681381855	0.000452052586770546	0.00218505782168999
M8Y62_00185	34.6296655078709	0.290251077780505	0.55408716642559	0.523836492465458	0.600392269332796	0.72551947637329
M8Y62_00190	37.6145043701883	-1.6514159370667	0.440019876255826	-3.75304850116947	0.0001746970383054	0.000961557093861087
M8Y62_00195	22.2746513030725	-0.713493560636749	0.528898111312618	-1.34901892325916	0.177330888021047	0.300563701500767
M8Y62_00200	28.8984781156654	-0.8954421334492	0.439628707839615	-2.03681451525198	0.0416686331571133	0.0971719835510401
M8Y62_00205	255.632457694872	0.207972079234293	0.196902057393009	1.0562209556764	0.290867278918454	0.432477998324782
M8Y62_00210	60.7680955112997	0.393069387649373	0.365614897301499	1.07509127924083	0.282333863472412	0.423010956991294
M8Y62_00215	91.1764213219816	0.229013053626509	0.346705839977851	0.660539936798121	0.508907398740198	0.646716213934425
M8Y62_00220	81.9859564492681	-0.0269852268883215	0.514437069720935	-0.0524558366351011	0.958165484116225	0.972988135799459
M8Y62_00225	29.433707805883	-1.01476900402567	0.541476400654436	-1.87407798899306	0.0609196766241922	0.131137619680498
M8Y62_00230	26.4968458567387	-0.437459316105347	0.515377769521383	-0.848812932912499	0.395985392579489	0.543524861302936
M8Y62_00235	52.7197960738636	-0.489171617438656	0.34978503259236	-1.39849213619365	0.161965332483883	0.281099632095798
M8Y62_00240	7.80908467618526	-0.254817220352894	0.898634788034615	-0.283560378193459	0.776747304805455	0.85453453748202
M8Y62_00245	13.5844484251073	-1.1577153460127	0.597962472786466	-1.93610033856778	0.0528554130846994	0.117158743043483
M8Y62_00250	8.15768703621692	-0.566686542292139	0.757730173416981	-0.747873797524345	0.45453628366054	0.597686693933687
M8Y62_00255	6.66846222664502	-0.120835253197772	0.818201668159711	-0.147683948713467	0.882592199789569	0.925225300922937
M8Y62_00260	55.8500010430521	-0.0756151820865187	0.34853678364894	-0.216950364018626	0.828247027370942	0.890734110948887
M8Y62_00265	1.44690450598547	-2.76603592877532	1.90468057300596	-1.45223087166263	0.146437421429656	0.259709062622242
M8Y62_00270	21.5566106509061	-0.903767126112992	0.546047747237814	-1.65510640907266	0.0979029150595182	0.190607762494126
M8Y62_00275	4.53513707455952	-1.2614630127329	0.984956495455952	-1.28072967542485	0.200288632638519	0.328117693353886
M8Y62_00280	129.322687337914	-0.476322248951178	0.27633218792213	-1.72373060312975	0.0847564876512465	0.169864396849483
M8Y62_00285	28.1218059354839	-0.723909131762983	0.497392683205101	-1.45540768130776	0.145556431154717	0.258577863163926
M8Y62_00290	414.668878314536	0.631436493866137	0.172237943316554	3.66607079547871	0.000246305764501756	0.00129792641214652
M8Y62_00295	110.781268897402	-0.648436093109765	0.225316887789524	-2.87788500662893	0.00400351047240933	0.0140691772516856
M8Y62_00300	26.2485729673288	-0.35583115822721	0.47894135686344	-0.742953501776352	0.457509832350493	0.59964165072817
M8Y62_00305	14.8906848874431	0.28587318721765	0.607656444568424	0.470451995980535	0.638032123052577	0.75580839472892
M8Y62_00310	17.8309867510306	-0.366224623257784	0.538107327900509	-0.680579141500737	0.496137828941795	0.637035700672187
M8Y62_00315	63.1176271907063	-0.161865089571186	0.314304778142359	-0.514994046631617	0.606557180169769	0.731141357280131
M8Y62_00320	604.912776308084	0.334732568611996	0.170379098953325	1.96463398778565	0.0494566152525716	0.111471311275084
M8Y62_00325	144.189645986672	-0.82976647498372	0.210021941593202	-3.95085612812266	7.78721285474536e-05	0.000472116428149157
M8Y62_00330	88.8512442070317	0.44651783766783	0.326462050580101	1.36774806405338	0.171390949492233	0.29405797949345
M8Y62_00335	114.674376416988	0.15772390258875	0.236919364420301	0.665728202397771	0.505584843684628	0.644033208881448
M8Y62_00340	27.3283328613308	-0.204522691741088	0.444613388400346	-0.460001198967334	0.645515359905462	0.762459004937818
M8Y62_00345	35.5407313443648	-0.0841981782941663	0.430881532949569	-0.195409113307302	0.845072682747579	0.9018652432517
M8Y62_00350	19.997672086654	0.304532299661213	0.540287403994629	0.563648712536412	0.572993228003514	0.701982717349005
M8Y62_00355	14.1654839560683	-0.940932889634841	0.588310393855685	-1.5993817200273	0.109735811516777	0.207860815758712
M8Y62_00360	0.912974465702067	0.378379019659686	2.88702864767097	0.13106174750463	0.895726461152184	0.93351769463219
M8Y62_00365	0.166141920651111	0.968501660528411	6.23277661008454	0.155388476295041	0.876515068406502	0.921104409072859
M8Y62_00370	73.7588124041618	-0.818559640047261	0.293456987911753	-2.78936837003662	0.00528109591561088	0.0177540903084389
M8Y62_00375	189.262623639974	-3.06419772890263	0.348005047299906	-8.80503818170761	1.30808043907837e-18	9.39873472240501e-17
M8Y62_00380	283.20826071668	-3.4179204825941	0.448169291707171	-7.62640490064486	2.41390850897504e-14	7.77863729831532e-13
M8Y62_00385	273.343269380883	-1.16378464051135	0.198676046525535	-5.85769981265341	4.69321984459811e-09	6.58412926483593e-08
M8Y62_00390	12.1603233091148	-1.59304950064131	0.724896623377283	-2.19762301170519	0.02797598197604	0.0707314770169305
M8Y62_00395	21.0397149639099	-1.55510905898268	0.547077978558875	-2.84257294193999	0.00447509895818052	0.0154306752014564
M8Y62_00400	26.915655320425	-1.79636355707127	0.491930815249141	-3.65165893533523	0.000260551770156158	0.00135952282818478
M8Y62_00405	49.9056446480246	-0.388985357298194	0.341912205630123	-1.13767613701101	0.255255741336205	0.391861933869194
M8Y62_00410	158.171435284095	-0.792622047571352	0.24289733322726	-3.26319781711953	0.00110162596127231	0.00472366551297167
M8Y62_00415	52.864824780726	-0.911019097010858	0.318657125476472	-2.85893213794814	0.0042506970765503	0.0148008882488657
M8Y62_00420	107.724533424622	-0.241238622488498	0.263283805754565	-0.916268365982911	0.359526155586126	0.506921392005153
M8Y62_00425	31.098115539932	-1.31522568817205	0.466966143418488	-2.81653328985217	0.00485450117428107	0.0164718460393442
M8Y62_00430	84.5953578248995	-0.774485029740974	0.262048443565186	-2.95550326193148	0.0031215939615388	0.0114072268683861
M8Y62_00435	127.142810289125	-0.189175314474848	0.360583933869638	-0.524636004839974	0.599836252362548	0.725270173167052
M8Y62_00440	19.6098053864161	0.692785806427041	0.524013520174993	1.3220762055828	0.186142776257668	0.311526956676745
M8Y62_00445	4.71717070510991	-0.139043269716445	1.00924021926577	-0.137770242467744	0.89042200312372	0.930497993437267
M8Y62_00450	30.3532406683889	-0.0300182071506394	0.406994941223685	-0.0737557254652493	0.9412047569827	0.962373116546484
M8Y62_00455	27.8309185805261	0.233910101458359	0.464065844073232	0.504045071288304	0.614229704929337	0.737738530559887
M8Y62_00465	100.786375309215	0.122168121148799	0.275677148205164	0.443156503700768	0.65765253776593	0.771906963201203
M8Y62_00470	246.507854355914	0.662781708499249	0.216277069267535	3.06450291167663	0.00218032052045469	0.00837627471622658
M8Y62_00475	496.328463899478	0.822348435208813	0.307488770528843	2.67440151975135	0.00748627600390119	0.0236649997103107
M8Y62_00480	13.1566492326375	-0.376471822136142	0.654727531683274	-0.575005332627835	0.565287690490848	0.695265938084627
M8Y62_00485	60.8153774454137	-0.284132040990591	0.335662556917894	-0.846481191109119	0.397284362207178	0.544334044815745
M8Y62_00490	491.3466693523	0.650655569814467	0.21560487535453	3.01781473514715	0.00254604503768216	0.0095535084441468
M8Y62_00495	75.9189491211081	0.391531765094185	0.278733328294592	1.40468227280082	0.160115779468262	0.278669590649019
M8Y62_00500	45.6148931734829	1.53730628563388	0.402311600001146	3.82118309695645	0.000132812999104002	0.000756067148004261
M8Y62_00505	294.627706692177	-0.880598379652232	0.282024359738589	-3.12241956853821	0.0017937110973956	0.0070961026077771
M8Y62_00510	117.653927899939	-0.92866300486981	0.371156300879451	-2.50208066701105	0.0123465789699882	0.0363492582411004
M8Y62_00515	1965.47560327625	0.299091888348955	0.505303918924404	0.591904945019238	0.553914242272245	0.685878441118195
M8Y62_00520	5144.20442582768	-1.18415670067685	0.400873888054199	-2.9539382233765	0.00313746804552072	0.0114494973219174
M8Y62_00525	3185.07604473997	-1.00081364780595	0.353158922009525	-2.83389031235902	0.0045985113015884	0.0157642066992556
M8Y62_00530	2021.68270826558	0.917802919632474	0.220833504600915	4.1560854694178	3.23746753251403e-05	0.00021490155893105
M8Y62_00535	206.801170070452	-0.510996379711375	0.242699059279931	-2.10547326070179	0.0352501325197271	0.0855431102726559
M8Y62_00540	85.751164164676	-0.216395596175346	0.272831118791214	-0.793148513021878	0.427691300851597	0.574251173390894
M8Y62_00545	61.528869106311	0.0323259330454365	0.308606757713588	0.104747975335775	0.916575792512883	0.945666151753928
M8Y62_00550	3121.4061037846	-0.574502549698342	0.152556858916125	-3.7658257634565	0.000165999529030666	0.000919395308183385
M8Y62_00555	268.595159418434	-0.593091911603915	0.252424618634819	-2.34958030168182	0.0187945896004082	0.0514312058185128
M8Y62_00560	161.598202114836	0.316122678687961	0.248366746174527	1.27280597566722	0.203086900188391	0.331332632188302
