Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_27040	7204.40789095904	-3.68513808621262	0.0989630404126585	-37.2375188842849	1.68716363216374e-303	8.9200341232497e-300
M8Y62_23240	3707.80697213319	5.70166345228779	0.164289697339972	34.7049361256603	6.63704594220022e-264	1.75450309482063e-260
M8Y62_23235	2865.71280497741	4.373319727751	0.12751805332719	34.2956907954813	9.09833069578862e-258	1.60342914628781e-254
M8Y62_09470	8471.86876166014	-3.46840473083287	0.131921837491227	-26.2913615879821	2.40756000763434e-152	3.18219244009069e-149
M8Y62_19310	20687.7269128878	-3.03167782146475	0.120769949726696	-25.1029153222757	4.62184088820833e-139	4.88713455519149e-136
M8Y62_10760	1604.90088109624	5.09211261151872	0.210866471740223	24.1485171610969	7.73932593031876e-129	6.81963603226588e-126
M8Y62_09475	1945.04842184725	-2.94125704244496	0.124949033837628	-23.5396541462429	1.60231316418464e-122	1.2102042427206e-119
M8Y62_02150	3163.8949551858	-3.66008287291728	0.157540061536706	-23.2327119668193	2.1275617113299e-119	1.40605234597515e-116
M8Y62_17550	2692.93071743474	3.65740419264648	0.157529328699543	23.2172905378291	3.04591350224785e-119	1.78930496515382e-116
M8Y62_10435	6261.57903841727	-2.15974026389535	0.0940085695594527	-22.9738658296411	8.50935269848808e-117	4.49889477169065e-114
M8Y62_13365	42246.3822488387	-3.7719002905635	0.16674164926541	-22.621224554158	2.67939399500419e-113	1.28781418650792e-110
M8Y62_22500	922.979379290649	-4.05977076574158	0.179684002736706	-22.5939466168863	4.97030326186081e-113	2.18983277878817e-110
M8Y62_23835	2390.83258184401	3.86556273229931	0.171232376906783	22.5749522498521	7.63922340957306e-113	3.10681339741637e-110
M8Y62_11225	72378.9524286904	-3.07582551386091	0.138011129930947	-22.2867932129812	4.96292605976728e-110	1.87421357699926e-107
M8Y62_10380	2717.50899712847	-4.18383512113987	0.188294929675474	-22.2195846077784	2.2211482628691e-109	7.8288072438593e-107
