Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
M8Y62_23240	2449.90231759442	5.33779315081288	0.160738088556215	33.208016835077	8.24753209820815e-242	4.34562466254587e-238
M8Y62_24475	1343.60345620054	-4.62337217785363	0.167045519012493	-27.6773193629208	1.30942254887359e-168	3.44967370500748e-165
M8Y62_23235	1675.89181588421	3.93474785722731	0.146695592822107	26.8225362570971	1.76438133934205e-158	3.09884175899776e-155
M8Y62_24360	2129.29767283174	5.71803627137131	0.233608282503991	24.4770271416795	2.59507358387627e-132	3.41836067836101e-129
M8Y62_24380	1438.80750153457	4.97398107959529	0.20431487278348	24.3446843190236	6.59976981408046e-131	6.95483743007799e-128
M8Y62_21655	2494.11529775793	-3.56847859628399	0.149247728647179	-23.9097681996881	2.42393909339033e-126	2.12862251384561e-123
M8Y62_14180	1041.45806725241	4.17342075648578	0.177507893756686	23.5111840277164	3.13436196627917e-122	2.35927902861785e-119
M8Y62_14500	2842.54831566289	-3.33949767510005	0.14575382057892	-22.9119048944027	3.53542639733051e-116	2.32852021094181e-113
M8Y62_24385	1205.36209552731	5.09312793898791	0.222566728829147	22.8835997445855	6.76789228429395e-116	3.96222493843831e-113
M8Y62_23245	492.029817082747	5.70340029252999	0.250447008974934	22.772882438779	8.51575136464153e-115	4.48694939402962e-112
M8Y62_19250	1266.24803274347	-4.30630056397857	0.194560921087906	-22.1334301867995	1.50668619117552e-108	7.21702685573074e-106
M8Y62_05405	10147.5187099165	-2.26326308665788	0.105331398076503	-21.4870696486346	2.05690292364354e-102	9.03151792056485e-100
M8Y62_01300	1901.42213802169	-3.01041844651998	0.140977111596824	-21.3539518041011	3.58320003568818e-101	1.45229853754162e-98
M8Y62_14185	2637.9185292451	3.26351971601724	0.154902634818468	21.0682001622619	1.55739344228128e-98	5.86136146241432e-96
M8Y62_22140	1366.90449672267	-2.30424256179892	0.111122709508553	-20.7360185149333	1.63947494645162e-95	5.75892899523574e-93
M8Y62_21935	5858.68679654293	-3.16136027992665	0.15774877118499	-20.0404748397016	2.44424786297656e-89	8.04921374376468e-87
M8Y62_04860	858.887910068896	2.64785037001314	0.136457163327934	19.4042606883878	7.10329602931106e-84	2.20160392814353e-81
M8Y62_04190	800.264276495357	3.20026471725436	0.16851289974426	18.9912150471042	2.01609286383402e-80	5.90155183307858e-78
M8Y62_26475	2088.77848769572	-1.9268814561466	0.101511478000315	-18.9819072099475	2.40697983659856e-80	6.6749351363357e-78
M8Y62_01985	1876.58551081542	-2.99243011569331	0.158860652123752	-18.8368238181611	3.76916258471412e-79	9.92985882942936e-77
M8Y62_24610	1253.71414894091	-2.17690679018163	0.118530323609934	-18.3658217060598	2.46687631385883e-75	6.18951014177246e-73
