Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_00005	2932	3271	3119	1007	1129	1190	6126	4715	3969	714	707	350
M8Y62_00010	1526	1652	1427	622	709	850	2250	1795	1581	643	651	352
M8Y62_00015	514	585	553	109	105	144	745	674	520	58	66	49
M8Y62_00020	4890	5615	5441	4558	4296	4447	7209	5425	4782	2217	2244	1393
M8Y62_00025	769	813	771	997	994	1029	1158	771	716	705	744	403
M8Y62_00030	42	50	46	20	26	18	112	112	98	27	23	7
M8Y62_00035	59	51	52	26	15	38	140	100	103	33	38	17
M8Y62_00040	32	34	42	33	38	25	77	61	39	34	30	48
M8Y62_00045	44	42	39	22	20	23	103	50	68	9	23	28
M8Y62_00050	24	37	43	15	9	23	57	49	38	10	3	11
M8Y62_00055	94	88	84	85	69	65	145	131	100	42	47	56
M8Y62_00060	75	71	54	19	29	22	136	77	68	22	24	19
M8Y62_00065	248	268	264	346	350	358	810	582	496	279	343	246
M8Y62_00070	409	385	411	557	508	544	674	479	417	547	583	514
M8Y62_00075	504	411	259	104	97	122	1380	1029	1078	96	85	45
M8Y62_00080	145	107	80	50	46	58	811	545	592	57	51	19
M8Y62_00085	176	198	146	174	196	221	488	385	346	241	253	301
M8Y62_00090	2496	2414	2146	2005	2254	1985	5632	4114	4365	2391	2560	2289
M8Y62_00095	130	98	128	46	57	51	336	256	187	73	84	58
M8Y62_00100	164	140	165	90	69	76	256	186	124	59	78	94
M8Y62_00105	145	168	174	169	152	160	554	348	253	142	153	122
M8Y62_00110	30	31	43	13	15	24	240	132	90	13	13	14
M8Y62_00115	26	43	35	39	48	44	402	242	149	54	54	68
M8Y62_00120	252	272	226	195	225	256	891	536	496	186	205	294
M8Y62_00125	162	210	247	59	89	86	4921	2778	1442	44	70	38
M8Y62_00130	65	96	97	21	25	23	2859	1421	695	24	28	17
M8Y62_00135	3	3	1	1	5	1	7	5	1	1	2	0
M8Y62_00140	113	114	111	38	47	37	550	387	259	41	37	21
M8Y62_00145	352	413	394	117	151	128	1778	1335	1075	177	167	59
M8Y62_00150	88	105	92	44	45	55	203	165	133	63	55	32
M8Y62_00155	180	210	164	62	91	73	185	184	147	36	47	30
M8Y62_00160	670	676	542	308	237	329	429	314	304	251	276	242
M8Y62_00165	47	74	48	11	10	18	47	43	37	14	20	7
M8Y62_00170	281	268	281	187	183	225	485	386	302	122	163	131
M8Y62_00175	604	675	670	461	423	492	1905	1429	1210	349	528	563
M8Y62_00180	185	167	200	151	141	110	347	260	268	199	241	365
M8Y62_00185	77	67	57	8	10	5	151	72	79	7	11	3
M8Y62_00190	50	56	46	20	32	31	115	107	73	13	8	5
M8Y62_00195	29	39	27	16	12	7	77	61	46	7	9	5
M8Y62_00200	37	37	33	16	24	17	105	67	58	7	17	9
M8Y62_00205	166	211	196	212	276	208	445	313	294	234	285	226
M8Y62_00210	54	63	44	60	58	36	125	78	62	55	74	39
M8Y62_00215	47	44	45	92	95	76	144	77	75	140	133	65
M8Y62_00220	112	115	171	60	58	86	160	121	97	52	38	8
M8Y62_00225	44	29	23	24	18	24	96	82	47	15	20	4
M8Y62_00230	17	31	46	15	19	24	80	59	40	12	19	10
M8Y62_00235	45	57	74	42	32	39	163	105	99	32	35	18
M8Y62_00240	11	7	12	3	4	3	35	27	10	3	6	1
M8Y62_00245	16	15	13	8	13	14	35	35	24	5	7	5
M8Y62_00250	12	7	10	3	10	7	21	15	15	4	6	2
M8Y62_00255	9	6	7	6	5	5	21	9	9	3	8	2
M8Y62_00260	76	68	52	35	51	55	143	76	79	29	44	28
M8Y62_00265	0	0	0	1	3	1	1	3	3	1	3	1
M8Y62_00270	16	14	28	16	16	19	79	44	38	15	19	4
M8Y62_00275	5	3	1	3	4	4	15	10	10	3	4	2
M8Y62_00280	97	96	85	67	58	46	502	339	379	108	102	66
M8Y62_00285	36	19	29	24	28	17	93	62	36	17	19	11
M8Y62_00290	340	309	294	358	350	340	674	427	440	428	525	384
M8Y62_00295	76	91	94	107	110	104	255	195	155	81	93	66
M8Y62_00300	23	40	24	18	28	14	70	53	44	17	21	8
M8Y62_00305	14	27	19	12	15	7	25	30	18	6	12	8
M8Y62_00310	20	11	21	9	12	12	57	40	39	13	16	5
M8Y62_00315	67	77	89	35	38	40	218	133	109	39	31	29
M8Y62_00320	244	244	272	631	698	632	534	403	451	782	847	679
M8Y62_00325	114	121	143	127	134	140	363	257	255	101	88	75
M8Y62_00330	101	116	85	47	56	58	197	169	157	56	55	80
M8Y62_00335	123	127	108	69	84	83	284	197	196	71	91	88
M8Y62_00340	37	37	35	17	17	18	69	68	47	17	16	6
M8Y62_00345	60	44	62	24	20	17	113	63	62	18	11	12
M8Y62_00350	34	29	32	9	10	7	61	51	34	6	14	5
M8Y62_00355	16	15	12	12	9	16	46	29	20	6	6	9
M8Y62_00360	0	2	0	0	3	0	2	0	1	0	3	0
M8Y62_00365	0	0	0	0	0	0	0	1	0	1	0	0
M8Y62_00370	41	46	38	59	54	45	226	140	162	60	69	62
M8Y62_00375	40	42	40	33	43	57	1205	837	1004	65	98	42
M8Y62_00380	36	46	57	18	36	41	1785	1660	1683	62	84	27
M8Y62_00385	106	112	103	232	249	270	567	482	483	302	285	233
M8Y62_00390	10	8	10	10	8	6	32	50	31	6	9	2
M8Y62_00395	7	16	21	16	17	15	75	66	43	14	16	5
M8Y62_00400	11	20	26	24	31	34	57	64	54	14	19	8
M8Y62_00405	70	57	51	43	38	48	110	97	69	27	25	25
M8Y62_00410	102	103	134	147	141	140	417	287	260	144	130	82
M8Y62_00415	38	48	39	51	41	41	152	103	106	37	43	24
M8Y62_00420	40	50	40	95	115	122	134	111	108	118	136	132
M8Y62_00425	29	33	26	11	19	25	124	108	69	8	18	12
M8Y62_00430	61	68	62	63	70	93	209	164	146	65	58	58
M8Y62_00435	49	64	79	153	138	179	134	124	97	135	189	74
M8Y62_00440	15	24	20	9	9	7	73	32	39	18	17	14
M8Y62_00445	5	4	4	2	5	3	11	11	7	1	2	7
M8Y62_00450	24	33	26	30	20	24	69	46	46	17	29	25
M8Y62_00455	22	32	25	16	27	24	55	35	47	34	24	12
M8Y62_00465	49	48	49	102	115	103	118	101	74	96	136	120
M8Y62_00470	152	182	177	206	280	252	325	181	203	254	283	268
M8Y62_00475	684	774	761	331	339	387	864	596	665	216	295	379
M8Y62_00480	16	13	16	8	6	6	56	29	28	2	7	10
M8Y62_00485	93	78	81	31	39	30	223	134	109	25	25	25
M8Y62_00490	468	458	462	333	428	481	723	641	539	399	486	463
M8Y62_00495	65	76	82	55	40	49	189	145	110	60	75	55
M8Y62_00500	46	33	45	25	26	23	108	45	41	58	62	44
M8Y62_00505	170	186	214	271	281	296	676	485	517	176	228	274
M8Y62_00510	84	104	154	59	70	82	387	265	370	60	73	39
M8Y62_00515	609	587	584	1574	2099	2304	1608	1228	1240	1622	1920	4549
M8Y62_00520	1277	1186	1043	3089	3916	5822	11831	8047	5616	4832	5996	8696
M8Y62_00525	623	427	441	2542	3718	4837	3307	2308	1709	4019	4069	5020
M8Y62_00530	1050	1162	1156	1602	1945	1740	2192	1460	1680	2415	2571	2918
M8Y62_00535	161	202	231	98	129	128	754	548	425	112	123	125
M8Y62_00540	87	82	78	53	72	79	215	138	151	74	56	50
M8Y62_00545	62	67	58	32	44	49	181	116	93	50	39	43
M8Y62_00550	3163	4190	3883	2095	2073	2258	10028	6955	5596	1487	1637	1231
M8Y62_00555	172	213	254	225	215	190	713	540	509	211	248	135
M8Y62_00560	143	129	113	120	156	117	267	234	220	171	154	142
M8Y62_00565	350	360	341	585	686	703	951	668	693	892	890	1766
M8Y62_00570	282	354	241	188	195	236	361	276	281	123	171	204
M8Y62_00575	1016	1127	916	483	487	538	1445	1184	1143	232	280	265
M8Y62_00580	307	373	351	135	146	184	648	459	453	80	81	47
M8Y62_00585	2118	2415	2274	1815	1804	1982	4820	3975	3512	1356	1364	659
M8Y62_00590	1644	1750	1550	1148	1175	1119	3011	1938	1749	1162	1308	823
M8Y62_00595	3186	3350	3284	1856	1913	1782	5370	3805	3089	909	924	566
M8Y62_00600	40	44	48	32	35	25	112	83	59	27	28	18
M8Y62_00605	75	78	75	25	20	17	158	93	96	20	15	8
M8Y62_00610	125	120	98	170	176	142	436	362	415	181	222	168
M8Y62_00615	55	49	56	58	64	61	104	89	72	72	56	46
M8Y62_00620	25	26	20	26	28	29	56	44	37	41	58	20
M8Y62_00625	612	785	817	1148	1313	1220	1315	966	954	1231	1248	797
M8Y62_00630	9	6	6	7	4	4	18	14	12	11	11	8
M8Y62_00635	2	0	0	0	1	0	1	0	0	1	1	1
M8Y62_00640	12	4	1	3	6	4	9	6	7	5	10	2
M8Y62_00645	9	10	15	8	12	10	19	13	11	15	10	6
M8Y62_00650	50	66	57	56	63	62	91	57	51	79	99	58
M8Y62_00655	792	993	1086	462	473	565	1548	1129	1013	313	356	261
M8Y62_00660	146	180	184	272	318	355	480	337	311	327	436	495
M8Y62_00665	78	82	69	63	53	57	433	256	181	110	109	53
M8Y62_00670	68	96	68	42	41	47	194	158	130	67	77	41
M8Y62_00675	154	177	179	107	150	148	512	367	370	144	147	93
M8Y62_00680	291	323	357	406	470	499	1057	687	793	422	439	234
M8Y62_00685	1385	1523	1330	693	845	809	1748	1243	1216	863	878	814
M8Y62_00690	8667	9261	8165	1898	2290	2730	9253	6466	6622	1625	1612	1711
M8Y62_00695	975	926	837	444	611	658	1148	813	783	796	807	848
M8Y62_00700	89	117	109	50	44	54	288	202	163	37	53	42
M8Y62_00705	218	267	202	180	160	209	602	400	409	196	231	96
M8Y62_00710	327	346	368	196	208	244	883	724	543	139	176	74
M8Y62_00715	744	822	809	320	402	396	1826	1422	1201	177	171	93
M8Y62_00720	488	521	471	283	306	322	954	703	645	201	276	191
M8Y62_00725	230	254	218	74	93	107	502	388	345	78	90	86
M8Y62_00730	227	296	229	112	140	171	647	528	409	78	90	82
M8Y62_00735	337	400	419	267	309	294	1065	811	675	156	200	146
M8Y62_00740	282	301	332	320	306	394	715	510	468	229	264	224
M8Y62_00745	214	266	240	173	236	257	469	305	267	305	301	175
M8Y62_00750	558	603	618	236	304	316	897	666	659	225	226	188
M8Y62_00755	382	443	413	170	222	200	830	627	504	153	140	73
M8Y62_00760	520	657	682	371	445	519	1720	1367	1032	301	325	161
M8Y62_00765	970	1260	1278	1194	1317	1243	2838	2146	1806	1022	1217	900
M8Y62_00770	2475	2795	2758	2547	2596	2724	4413	3306	2750	2191	2376	1667
M8Y62_00775	718	897	923	762	901	900	4204	3076	2751	937	1021	1180
M8Y62_00780	1063	1427	1390	1280	1444	1412	6089	4370	4144	1344	1746	2225
M8Y62_00785	225	242	234	152	131	139	666	495	431	96	112	102
M8Y62_00790	241	313	257	141	127	169	726	572	426	84	106	89
M8Y62_00795	633	783	719	597	638	716	1752	1340	1053	551	600	342
M8Y62_00800	1502	2448	1722	337	382	338	8831	5273	3760	438	458	318
M8Y62_00805	665	743	738	243	329	295	1292	940	767	258	260	216
M8Y62_00810	356	397	333	215	217	260	717	509	488	261	278	260
M8Y62_00815	1092	1204	1006	579	612	773	2489	1846	1689	463	638	883
M8Y62_00820	423	482	442	159	218	264	1469	1147	1081	212	263	337
M8Y62_00825	376	395	379	221	225	272	1107	911	721	148	194	169
M8Y62_00830	132	169	127	48	44	90	376	307	187	58	78	70
M8Y62_00835	231	230	187	298	356	595	2522	1490	1813	526	588	2684
M8Y62_00840	75	78	73	46	88	171	686	446	504	128	120	673
M8Y62_00845	439	354	255	171	311	805	1851	1170	1235	431	386	2276
M8Y62_00850	2799	3034	2719	836	972	944	2345	1659	1399	610	618	551
M8Y62_00855	69	84	89	179	174	133	263	215	175	339	370	192
M8Y62_00860	182	221	161	43	55	46	545	448	286	68	55	35
M8Y62_00865	757	794	806	371	355	371	1760	1402	1043	187	199	190
M8Y62_00870	537	592	690	335	302	331	1607	1231	859	280	311	289
M8Y62_00875	19	24	28	28	24	32	52	33	25	42	39	15
M8Y62_00885	148	151	153	228	187	192	261	225	174	147	248	136
M8Y62_00890	1724	1961	1856	328	349	302	2858	2293	1602	103	128	58
M8Y62_00895	1424	1654	1495	376	366	302	2465	1780	1383	227	274	93
M8Y62_00905	276	319	299	82	65	69	472	366	351	52	65	34
M8Y62_00910	360	371	369	96	114	128	761	598	479	89	117	52
M8Y62_00915	465	580	395	102	124	101	567	453	424	80	95	70
M8Y62_00920	1556	1789	1796	791	862	766	2757	1863	2097	513	692	642
M8Y62_00925	283	302	288	266	312	352	950	670	607	314	423	743
M8Y62_00935	38	45	45	33	46	43	171	72	75	53	52	36
M8Y62_00940	33	27	40	26	39	47	49	39	30	37	26	41
M8Y62_00945	250	242	274	204	196	183	483	369	336	93	101	80
M8Y62_00950	85	124	140	112	95	100	273	210	166	59	80	34
M8Y62_00955	40	32	45	46	40	36	95	52	55	49	41	43
M8Y62_00960	35	28	35	25	21	21	52	41	31	14	23	9
M8Y62_00965	89	67	88	57	49	58	155	109	90	61	54	48
M8Y62_00970	287	276	253	276	291	191	441	252	337	300	334	347
M8Y62_00975	952	1198	1179	481	460	502	2699	2019	1686	263	284	210
M8Y62_00980	1826	1988	1758	801	933	1117	3898	2974	2695	593	704	586
M8Y62_00985	111	110	113	73	82	82	88	46	52	101	111	88
M8Y62_00990	885	852	656	222	219	233	1518	1114	962	298	311	218
M8Y62_00995	91182	113224	97442	16759	19787	25064	103820	68678	50776	11289	11537	10267
M8Y62_01000	1536	1535	1700	4493	4720	4533	1547	1208	1181	4499	4620	2231
M8Y62_01005	133	126	128	125	114	139	307	234	214	105	102	84
M8Y62_01010	1453	1637	1455	1517	1738	1661	2859	1906	1975	1851	1925	1730
M8Y62_01015	539	692	677	826	850	686	1001	691	554	548	541	189
M8Y62_01020	758	953	1050	2238	2352	1594	1493	1054	890	1608	1510	462
M8Y62_01025	451	609	622	490	456	347	1070	689	521	261	270	135
M8Y62_01030	182	231	237	96	113	108	483	288	301	89	64	102
M8Y62_01035	120	133	126	87	98	106	390	268	259	94	86	62
M8Y62_01040	223	195	187	85	83	90	1067	744	777	115	123	147
M8Y62_01045	362	394	407	312	322	360	1450	987	885	217	258	224
M8Y62_01050	71	66	84	37	27	36	176	136	108	16	19	27
M8Y62_01055	216	191	200	217	286	278	525	377	389	354	378	440
M8Y62_01060	139	167	179	155	168	186	317	295	187	269	291	150
M8Y62_01065	64	93	90	27	51	41	195	179	93	72	48	33
M8Y62_01070	2008	2177	1897	598	775	817	4115	3219	3050	839	708	464
M8Y62_01075	267	307	278	139	185	175	509	366	245	126	132	110
M8Y62_01080	42	44	36	9	16	8	57	42	29	17	7	3
M8Y62_01090	1701	2591	3522	16841	14514	13374	8206	6504	4425	12335	13790	5694
M8Y62_01095	159	281	403	601	507	486	852	693	440	278	340	118
M8Y62_01100	157	252	354	678	612	441	569	438	295	566	652	148
M8Y62_01105	430	600	811	2257	1932	1293	1212	998	729	1484	1799	452
M8Y62_01110	351	531	646	2271	1943	1456	859	665	542	1094	1069	387
M8Y62_01115	16	9	6	7	11	6	13	15	11	13	13	20
M8Y62_01120	162	172	238	153	177	191	244	183	161	180	280	118
M8Y62_01130	373	495	455	354	365	434	479	357	285	291	382	232
M8Y62_01135	474	495	387	233	229	239	413	334	253	101	85	138
M8Y62_01140	681	704	684	464	511	586	550	404	336	364	363	220
M8Y62_01145	132	115	114	124	169	166	153	100	99	142	189	88
M8Y62_01150	345	381	422	388	384	486	627	510	352	318	363	250
M8Y62_01155	342	479	484	470	544	463	766	651	437	392	477	292
M8Y62_01160	13	15	24	12	21	21	37	37	20	16	9	4
M8Y62_01165	295	365	464	570	608	665	863	692	513	516	634	352
M8Y62_01170	63	82	89	70	56	56	134	79	79	73	50	21
M8Y62_01175	279	302	322	318	317	321	621	464	393	223	277	112
M8Y62_01180	1134	1388	1386	617	604	662	1766	1368	878	377	471	233
M8Y62_01185	1346	1720	1604	1138	1011	967	1587	1226	846	556	546	311
M8Y62_01190	825	913	905	435	382	450	824	637	480	161	191	87
M8Y62_01195	2108	2457	2102	1294	1329	1463	1892	1465	1289	661	838	294
M8Y62_01200	660	724	741	433	516	496	1456	1094	904	449	469	260
M8Y62_01205	1609	1161	888	1047	1383	2109	1900	1314	1593	1804	2161	5397
M8Y62_01210	1480	1716	1733	515	539	680	3745	2895	2677	771	910	522
M8Y62_01215	210	224	182	107	133	150	1013	711	661	100	141	144
M8Y62_01220	255	279	300	362	414	459	677	534	355	427	515	241
M8Y62_01225	142	187	210	109	140	121	380	322	218	61	92	56
M8Y62_01230	438	483	588	726	718	873	1078	798	635	565	562	377
M8Y62_01235	114	113	103	55	51	60	214	132	127	51	71	45
M8Y62_01240	34	37	33	49	33	34	123	91	79	37	55	25
M8Y62_01245	72	58	69	91	106	117	155	124	115	43	66	69
M8Y62_01250	315	374	438	616	539	613	873	706	539	364	393	218
M8Y62_01255	146	143	140	217	213	227	494	339	296	153	156	158
M8Y62_01260	102	112	105	227	250	199	233	180	167	204	222	231
M8Y62_01265	2076	2289	2064	2596	2576	2905	3364	2474	2253	1628	1655	1007
M8Y62_01270	806	857	960	373	407	462	1455	1159	848	186	180	98
M8Y62_01275	41	40	46	35	40	25	143	98	114	29	30	17
M8Y62_01280	1310	1487	1608	2728	2805	3132	5166	3958	3820	1451	1566	1528
M8Y62_01285	207	230	214	301	362	336	652	428	427	319	329	314
M8Y62_01290	1153	1287	1362	2998	3328	3140	2228	1536	1310	2808	2903	1729
M8Y62_01295	13416	12709	11373	19973	19094	17192	12161	7526	6589	15298	17216	8824
M8Y62_01300	453	470	527	3034	3273	2611	1227	759	859	3095	3486	1813
M8Y62_01305	1047	1281	1374	749	922	953	2276	1511	1351	1031	1025	420
M8Y62_01310	497	599	664	436	457	438	1220	874	757	310	301	247
M8Y62_01315	167	227	210	114	160	164	963	710	825	126	144	138
M8Y62_01320	88	98	64	94	86	70	228	194	183	101	119	69
M8Y62_01325	94	111	56	14	28	29	138	89	80	6	4	5
M8Y62_01330	204	240	178	59	57	49	250	182	159	25	50	21
M8Y62_01335	427	519	316	52	34	59	486	412	320	15	8	10
M8Y62_01340	526	550	405	82	75	52	657	451	375	36	36	10
M8Y62_01345	309	348	249	35	22	26	506	415	224	11	14	8
M8Y62_01350	868	901	695	83	103	87	2099	1606	972	60	68	42
M8Y62_01355	79	93	55	46	47	72	229	172	128	47	46	59
M8Y62_01360	162	180	159	193	151	127	213	141	118	166	181	86
M8Y62_01365	264	260	288	248	279	304	2700	2280	2623	297	322	723
M8Y62_01370	157	169	119	112	107	120	1489	1182	1257	107	127	326
M8Y62_01375	362	353	269	150	143	148	2627	2021	2225	154	191	590
M8Y62_01380	112	101	65	22	13	21	577	407	448	21	26	105
M8Y62_01385	622	510	398	320	278	278	1541	1056	1376	220	244	347
M8Y62_01390	43	38	29	21	33	23	101	77	67	30	30	19
M8Y62_01395	36	43	46	43	29	44	96	75	58	15	22	11
M8Y62_01400	98	97	111	168	153	158	188	148	122	132	138	87
M8Y62_01405	322	342	298	316	335	387	687	614	522	209	250	189
M8Y62_01410	2761	3016	2945	1879	1867	1766	3629	2457	2185	1628	1537	1101
M8Y62_01415	108	92	98	32	48	48	293	176	153	61	45	23
M8Y62_01420	123	150	176	56	58	65	422	266	250	44	68	40
M8Y62_01425	939	851	826	663	660	720	3108	2139	1954	550	639	465
M8Y62_01430	438	413	391	818	837	834	744	554	479	630	581	421
M8Y62_01435	205	243	228	184	203	210	402	310	277	241	236	210
M8Y62_01440	131	186	197	136	163	133	402	276	236	132	126	82
M8Y62_01445	471	505	485	257	298	340	1056	709	648	160	153	136
M8Y62_01450	6079	6989	6604	4182	4634	4243	14177	10103	9993	3688	4051	2850
M8Y62_01455	1117	1286	1232	601	661	639	2497	1782	1808	453	529	350
M8Y62_01460	1398	1534	1458	784	974	908	2338	1845	1796	701	755	624
M8Y62_01465	19977	20576	19172	8573	9275	9068	30870	22000	17912	7138	7233	4918
M8Y62_01470	392	378	344	97	96	111	903	644	640	82	95	251
M8Y62_01475	54	43	45	40	65	64	167	108	174	63	72	229
M8Y62_01480	53	56	56	27	47	47	136	74	85	33	46	57
M8Y62_01485	174	178	175	451	454	479	478	329	365	350	439	535
M8Y62_01490	65	69	87	59	30	55	156	103	103	43	52	31
M8Y62_01495	40	36	44	67	73	56	93	72	67	41	53	68
M8Y62_01500	13	12	14	24	22	13	62	41	23	16	17	21
M8Y62_01505	18	17	19	24	28	14	57	37	45	7	8	22
M8Y62_01510	27	15	17	19	15	15	47	21	27	13	13	11
M8Y62_01515	20	12	22	8	9	13	29	18	23	8	6	9
M8Y62_01520	13	16	16	22	7	8	87	58	73	11	11	5
M8Y62_01525	16	23	22	43	38	39	96	44	88	34	34	21
M8Y62_01530	57	67	49	112	110	127	241	178	182	124	151	181
M8Y62_01535	18	18	13	17	20	21	51	25	34	18	21	19
M8Y62_01540	5	5	4	5	9	2	20	17	16	4	8	7
M8Y62_01545	43	59	60	44	40	42	147	100	103	26	47	21
M8Y62_01550	163	174	194	137	119	148	367	248	185	70	72	49
M8Y62_01555	687	794	866	1116	1059	925	922	638	546	943	879	492
M8Y62_01560	258	383	465	933	878	963	1247	970	671	884	971	696
M8Y62_01565	116	132	164	295	302	264	316	164	227	319	371	261
M8Y62_01570	45	40	25	18	17	20	126	108	57	16	21	19
M8Y62_01575	377	419	408	761	644	779	983	680	671	484	604	492
M8Y62_01580	155	197	180	243	230	209	347	292	255	150	152	112
M8Y62_01585	1163	1418	1420	794	746	766	1969	1421	1078	520	533	310
M8Y62_01590	136	165	216	103	108	93	557	434	316	55	80	33
M8Y62_01595	296	369	390	273	262	239	939	606	570	157	139	59
M8Y62_01600	11	21	12	12	12	12	38	25	28	26	24	17
M8Y62_01605	807	885	931	1433	1484	1653	2471	1793	1661	1085	1334	1321
M8Y62_01610	2195	2904	3483	4410	4013	4139	5321	4451	2654	2365	2685	1458
M8Y62_01615	2323	3048	3271	4608	4516	4039	4901	3948	2737	3103	3189	1447
M8Y62_01620	2879	3975	4512	11526	10575	9502	7989	6266	4430	8809	9706	3548
M8Y62_01625	2275	3212	3746	9357	9075	7677	8184	6481	4604	7885	7871	3115
M8Y62_01630	2789	3812	4655	8337	7609	7384	8761	6893	5078	5520	5878	2985
M8Y62_01635	834	494	442	3515	5308	6690	19257	12557	7227	7603	8080	4714
M8Y62_01640	227	241	262	581	713	725	1140	801	892	1121	1017	1276
M8Y62_01645	254	225	246	291	404	404	871	656	656	436	400	416
M8Y62_01650	306	289	275	268	325	351	798	633	513	288	351	350
M8Y62_01655	1966	2341	2275	1914	2165	2791	7658	5314	4571	1692	1845	2034
M8Y62_01660	4137	5341	2931	745	754	874	3185	2168	2280	685	769	621
M8Y62_01665	4414	5103	2644	454	409	446	2374	1643	1913	260	299	338
M8Y62_01670	156	164	141	41	38	42	710	520	414	45	57	53
M8Y62_01675	763	752	815	697	851	1050	1257	958	990	517	550	752
M8Y62_01680	43	50	55	32	27	41	150	93	85	20	19	25
M8Y62_01685	86	94	103	61	116	102	211	181	174	114	118	122
M8Y62_01690	589	833	1166	1410	1245	1501	713	513	412	1393	1462	614
M8Y62_01695	210	221	215	241	244	246	457	256	283	148	203	43
M8Y62_01700	899	1037	1157	652	611	604	2524	1786	1537	311	317	61
M8Y62_01705	192	244	244	65	72	47	749	486	429	82	93	59
M8Y62_01710	966	1081	1112	708	796	883	3172	2267	2091	639	629	549
M8Y62_01715	158	161	164	184	231	185	482	321	325	186	169	128
M8Y62_01720	733	712	705	980	1152	1167	2517	1915	1943	976	1075	866
M8Y62_01725	611	588	602	422	522	514	1857	1435	1479	356	432	323
M8Y62_01730	4642	5427	5822	5422	5821	6296	15621	11293	9019	4836	5344	8359
M8Y62_01735	402	492	451	374	414	359	1055	737	703	299	335	223
M8Y62_01740	281	294	308	222	240	261	772	630	517	196	187	134
M8Y62_01745	337	445	459	302	260	283	857	572	479	242	250	186
M8Y62_01750	1197	1223	1302	772	790	879	2727	1982	1811	347	403	332
M8Y62_01755	590	760	827	389	407	416	1434	900	865	309	368	291
M8Y62_01760	760	839	801	409	468	605	1844	1329	1167	390	423	216
M8Y62_01765	143	148	112	103	81	87	177	117	122	60	79	91
M8Y62_01770	21	21	30	34	35	23	46	37	41	24	24	20
M8Y62_01775	20	27	17	5	9	8	37	21	20	3	7	4
M8Y62_01780	17	29	29	13	13	12	49	33	31	11	14	6
M8Y62_01785	156	151	141	59	77	35	240	174	133	42	61	58
M8Y62_01790	2884	3177	2947	1901	2033	2137	4432	3041	2810	1327	1402	1035
M8Y62_01795	1950	2227	2060	2195	2463	2314	4104	3174	2982	2166	2109	1325
M8Y62_01800	2265	2566	2367	1622	1944	2060	3924	2929	2775	1268	1349	1006
M8Y62_01805	581	622	567	277	350	361	921	666	609	235	265	259
M8Y62_01810	785	742	712	646	709	843	1342	941	867	684	589	615
M8Y62_01815	539	588	524	480	516	598	1003	674	717	435	481	540
M8Y62_01820	1281	1366	1187	964	1235	1221	1948	1394	1193	1155	1211	1428
M8Y62_01825	567	550	510	146	159	198	1300	1050	743	181	179	174
M8Y62_01830	19	41	31	7	7	10	221	160	110	0	14	3
M8Y62_01835	120	210	172	28	21	35	1889	1359	915	19	32	20
M8Y62_01840	118	131	128	134	130	131	485	361	351	93	123	165
M8Y62_01845	163	197	200	90	118	104	389	260	250	111	82	52
M8Y62_01850	1556	1669	1898	1093	1172	1297	4846	3456	3315	1082	1051	704
M8Y62_01855	54	59	35	32	29	40	172	137	116	34	44	29
M8Y62_01860	132	149	150	157	131	174	473	351	282	138	181	58
M8Y62_01865	83	67	56	79	69	75	262	176	153	94	122	37
M8Y62_01870	219	194	202	110	107	121	555	506	474	134	155	90
M8Y62_01875	346	355	355	221	227	203	1301	993	812	144	181	97
M8Y62_01880	8207	9583	9364	9299	9910	9541	13979	9340	8067	9447	9035	6688
M8Y62_01885	1172	1082	1062	1499	1738	1439	2522	1727	1816	2079	2207	2332
M8Y62_01890	489	480	492	495	513	587	1334	1105	986	384	436	522
M8Y62_01895	76	60	74	92	101	87	228	175	147	102	107	117
M8Y62_01900	302	356	360	180	176	233	899	757	698	133	114	91
M8Y62_01905	428	438	408	187	179	201	895	776	576	142	167	103
M8Y62_01910	1362	1432	1191	965	1042	1067	1676	1165	1148	589	702	470
M8Y62_01915	1137	1041	965	1005	1211	1150	2019	1369	1479	982	1045	916
M8Y62_01920	284	241	232	468	640	552	396	294	328	553	585	589
M8Y62_01925	7969	8293	7431	7378	7977	8244	8240	5827	5960	8517	9291	8238
M8Y62_01930	53	59	86	57	72	71	173	90	97	106	84	54
M8Y62_01935	10725	10950	9423	4376	5304	5611	13401	9629	10606	7177	6608	11804
M8Y62_01940	602	737	572	358	388	415	1414	1079	951	334	338	244
M8Y62_01945	89	114	82	33	41	63	261	170	154	31	29	24
M8Y62_01950	104	92	78	31	38	39	189	193	146	23	31	15
M8Y62_01955	304	356	298	78	111	105	601	457	431	38	63	40
M8Y62_01960	3782	3997	3472	1532	1730	2048	5169	3938	4014	1565	1470	1649
M8Y62_01965	4567	4807	3781	1683	1950	2198	6526	4748	4917	1441	1515	2224
M8Y62_01970	26260	26175	20638	13034	13787	14595	36932	26528	26759	10893	11650	14197
M8Y62_01975	32864	31172	24355	17291	18297	19349	39280	27612	28403	17015	18453	22794
M8Y62_01980	76	59	59	27	40	27	179	92	124	101	146	90
M8Y62_01985	386	473	590	3058	2965	2764	841	745	520	4433	4215	1985
M8Y62_01990	272	323	323	638	514	532	496	415	256	359	404	111
M8Y62_01995	5627	5460	4386	1969	2192	2340	6592	5097	5753	1343	1285	1693
