Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_23865	778	822	814	383	389	429	1383	1060	848	214	204	254
M8Y62_23870	291	357	390	650	593	621	476	382	338	724	780	503
M8Y62_23875	335	417	390	240	253	272	733	549	522	176	206	110
M8Y62_23880	17	10	10	2	4	2	27	31	18	7	8	3
M8Y62_23885	209	156	141	74	117	118	1434	1110	1093	329	275	287
M8Y62_23895	45	44	28	42	43	37	52	48	55	94	90	52
M8Y62_23900	33	44	55	17	24	27	95	72	66	20	20	13
M8Y62_23905	68	74	66	31	33	43	130	107	103	17	32	29
M8Y62_23910	75	60	66	57	53	57	111	86	53	30	25	26
M8Y62_23915	11	19	14	9	3	6	38	28	26	7	6	7
M8Y62_23920	369	421	492	413	409	423	1035	781	703	283	332	242
M8Y62_23925	34	40	25	17	13	13	85	75	52	23	19	19
M8Y62_23930	1	1	0	1	0	0	2	0	2	0	0	0
M8Y62_23935	1788	2757	3173	5471	5342	4811	4454	3594	2477	4019	4235	1583
M8Y62_23940	533	681	811	2003	2291	1736	1600	1196	941	2174	2170	715
M8Y62_23945	107	113	110	103	103	110	445	306	266	69	84	72
M8Y62_23950	342	391	389	282	270	307	1122	792	752	266	286	260
M8Y62_23955	68	96	73	60	50	63	161	99	112	49	52	63
M8Y62_23960	54	52	66	44	61	46	114	93	68	41	38	45
M8Y62_23965	72	89	66	35	33	38	132	101	82	22	15	23
M8Y62_23970	55	65	58	35	58	59	218	151	150	40	37	28
M8Y62_23975	1937	2574	3012	5452	5239	5314	3887	2738	2076	4329	4830	2062
M8Y62_23980	364	380	371	73	101	94	394	264	205	117	104	58
M8Y62_23985	33	37	48	58	48	57	89	60	68	37	60	30
